geo,year,O,R,I,S,O_raw,R_raw,I_raw,S_raw
EU27_2020,1990,,0.12664393003670577,,,,8.200526287969897,,
EU27_2020,1991,0.16878666730998532,0.12914989976990526,,,78.0,8.331869956089452,,
EU27_2020,1992,0.15454804427073351,0.13250624124406,,,76.8,8.504425668766109,,
EU27_2020,1993,0.11586009800999078,0.13579282069606632,,,73.0,8.669842621274315,,
EU27_2020,1994,0.15002502299508835,0.1396519939912174,,,76.4,8.859826274986231,,
EU27_2020,1995,0.18405152815449544,0.14441753543309624,,,79.2,9.088455675146626,,
EU27_2020,1996,0.18143509815044231,0.15049177311889178,,,79.0,9.370955058112864,,
EU27_2020,1997,0.23146312440879996,0.15797695548872692,,,82.5,9.706455277155364,,
EU27_2020,1998,0.28500677268706337,0.16731342747902522,,,85.7,10.107305138368062,,
EU27_2020,1999,0.3125196666186555,0.17772492683958482,,,87.2,10.5337639793144,,
EU27_2020,2000,0.4069318304341881,0.1971017486083292,,,91.9,11.278118837252471,,
EU27_2020,2001,0.41967542374079636,0.2145432330486408,,,92.5,11.902187316488948,,
EU27_2020,2002,0.4175435497218916,0.23958805996239316,,,92.4,12.73706426579223,,
EU27_2020,2003,0.4303783046155215,0.36805918523057096,,,93.0,16.32869170100062,,
EU27_2020,2004,0.48248792540399027,0.4156563124450709,,,95.4,17.497406059868283,,
EU27_2020,2005,0.5240703352689131,0.44673006767356677,,,97.3,18.238306193734203,,
EU27_2020,2006,0.616098180596526,0.47670138942749307,,,101.6,18.94349033855383,,
EU27_2020,2007,0.6968122856733004,0.5,,,105.7,19.488687634303012,,
EU27_2020,2008,0.6625079849177418,0.5208196662790191,,,103.9,19.975805431716118,,
EU27_2020,2009,0.34735349625416806,0.5355267180137655,,,89.0,20.320828015725525,,
EU27_2020,2010,0.48248792540399027,0.5470597078006971,,,95.4,20.592373844547197,,
EU27_2020,2011,0.5566926885193351,0.5599815923295115,,,98.8,20.898052626535844,,
EU27_2020,2012,0.5131364066118637,0.5676700538604963,0.6518069609920352,0.6518069609920352,96.8,21.080817556325513,19.91,19.91
EU27_2020,2013,0.5,0.5748078353610099,,,96.2,21.251185278772375,,
EU27_2020,2014,0.526254690642201,0.5987975339270813,0.356866185600221,0.356866185600221,97.4,21.82970860484125,19.27,19.27
EU27_2020,2015,0.5824564502781084,0.6062127668743031,0.6210466836177879,0.6210466836177879,100.0,22.010713930086062,19.84,19.84
EU27_2020,2016,0.6202333361304814,0.6126109247082206,0.6730451019495088,0.6730451019495088,101.8,22.167852038652384,19.96,19.96
EU27_2020,2017,0.6855952353582074,0.6524665691850302,0.23885192450216394,0.23885192450216394,105.1,23.170994695621687,18.97,18.97
EU27_2020,2018,0.7096080608452758,0.6553329216101358,0.2220114550594295,0.2220114550594295,106.4,23.24503486761175,18.92,18.92
EU27_2020,2019,0.70598475526038,0.6579924403346323,0.37895331638221375,0.37895331638221375,106.2,23.31399377793766,19.32,19.32
EU27_2020,2020,0.5501981332214331,0.6625079849177418,0.356866185600221,0.356866185600221,98.5,23.431672039097936,19.27,19.27
EU27_2020,2021,0.7290557430931389,0.6710636444867802,,,107.5,23.656790241997903,,
EU27_2020,2022,0.7822632500831527,0.6771388245892158,0.9357738447592885,0.9357738447592885,110.8,23.818452935647397,20.99,20.99
EU27_2020,2023,0.7476641443110034,0.6808073761663118,,,108.6,23.916843451923967,,
EU27_2020,2024,,0.8189174992188875,0.7095063575706891,0.7095063575706891,,28.31028242622206,20.05,20.05
